InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone,Generation,QuotaGroup,PremiumStorageCapable
L40S,L40S,1,32,64,"{'Gpus': [{'Name': 'L40S', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 46068}}], 'TotalGpuMemoryInMiB': 46068}",0.6,,JP,,,,
L40S,L40S,2,32,64,"{'Gpus': [{'Name': 'L40S', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 92136}}], 'TotalGpuMemoryInMiB': 92136}",1.2,,JP,,,,
L40S,L40S,4,32,64,"{'Gpus': [{'Name': 'L40S', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 184272}}], 'TotalGpuMemoryInMiB': 184272}",2.4,,JP,,,,
Quadro_P4000,QuadroP4000,1,6,62.7392578125,"{""Gpus"":[{""Name"":""QuadroP4000"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",0.0775,,CA,,,,
Quadro_P4000,QuadroP4000,1,6,62.7392578125,"{""Gpus"":[{""Name"":""QuadroP4000"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",,0.05616666666666667,CA,,,,
RTX_2060S,RTX2060S,1,22,31.4326171875,"{""Gpus"":[{""Name"":""RTX2060S"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",0.0787037037037037,,CA,,,,
RTX_2060S,RTX2060S,1,22,31.4326171875,"{""Gpus"":[{""Name"":""RTX2060S"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",,0.061037037037037035,CA,,,,
RTX_2060S,RTX2060S,1,32,23.3955078125,"{""Gpus"":[{""Name"":""RTX2060S"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",0.30277777777777776,,US,,,,
RTX_2080_Ti,RTX2080Ti,1,40,377.919921875,"{""Gpus"":[{""Name"":""RTX2080Ti"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":11264}}],""TotalGpuMemoryInMiB"":11264}",0.2227777777777778,,US,,,,
RTX_2080_Ti,RTX2080Ti,1,40,377.919921875,"{""Gpus"":[{""Name"":""RTX2080Ti"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":11264}}],""TotalGpuMemoryInMiB"":11264}",,0.1131111111111111,US,,,,
RTX_3060,RTX3060,1,16,125.9345703125,"{""Gpus"":[{""Name"":""RTX3060"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":12288}}],""TotalGpuMemoryInMiB"":12288}",0.1801111111111111,,CA,,,,
RTX_3060,RTX3060,1,16,125.9345703125,"{""Gpus"":[{""Name"":""RTX3060"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":12288}}],""TotalGpuMemoryInMiB"":12288}",,0.10277777777777777,CA,,,,
RTX_3060,RTX3060,1,12,62.94140625,"{""Gpus"":[{""Name"":""RTX3060"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":12288}}],""TotalGpuMemoryInMiB"":12288}",0.14014814814814816,,GB,,,,
RTX_3060,RTX3060,1,12,62.94140625,"{""Gpus"":[{""Name"":""RTX3060"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":12288}}],""TotalGpuMemoryInMiB"":12288}",,0.1268148148148148,GB,,,,
RTX_3060,RTX3060,4,32,64,"{'Gpus': [{'Name': 'RTX3060', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 49152}}], 'TotalGpuMemoryInMiB': 49152}",0.21,,HK,,,,
RTX_3060_Ti,RTX3060,1,6,62.73828125,"{""Gpus"":[{""Name"":""RTX3060"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",0.09925925925925927,,CA,,,,
RTX_3060_Ti,RTX3060,1,6,62.73828125,"{""Gpus"":[{""Name"":""RTX3060"",""Count"":1,""MemoryInfo"":{""SizeInMiB"":8192}}],""TotalGpuMemoryInMiB"":8192}",,0.07925925925925925,CA,,,,
